"type","question","answer"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The service should be done by a qualified _____ using only identical replacement parts.","repair person"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The reversing switch changes the direction of rotation to _____.","clockwise or counterclockwise"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
"Fill in the Blank","The speed of light is _____ km/s.","299,792"
